"task","category"
"Escrever um tratado filosófico","Intelectual/Técnica"
"Escrever um artigo científico","Intelectual/Técnica"
"Organizar um grupo armado de guerrilha","Outra"
"Compor uma sinfonia","Criativa/Artística"
"Tocar órgão","Criativa/Artística"
"Tocar violão/guitarra","Criativa/Artística"
"Fazer um discurso inflamado","Social/Interpessoal"
"Pregar uma religião","Social/Interpessoal"
"Administrar uma multinacional","Cotidiano"
"Atirar com precisão","Física/Esportes"
"Ler a mente alheia","Intelectual/Técnica"
"Pular de um prédio pra outro","Física/Esportes"
"Saber quando está sendo seguido","Intelectual/Técnica"
"Matar criminosos","Outra"
"Andar seguro à noite","Cotidiano"
"Pendurar um quadro na parede","Cotidiano"
"Colocar pregos na parede","Cotidiano"
"Resistir a tiros de arma de fogo","Física/Esportes"
"Voar","Fantasia/Sobrenatural"
"Mergulhar em apnéia","Física/Esportes"
"Entender os animais","Fantasia/Sobrenatural"
"Pilotar um navio","Física/Esportes"
"Pilotar um avião","Física/Esportes"
"Pilotar uma nave espacial","Física/Esportes"
"Pilotar um submarino","Física/Esportes"
"Comandar uma equipe","Social/Interpessoal"
"Saquear uma cidade","Outra"
"Ser espião","Outra"
"Ser diplomata","Outra"
"Ser fotógrafo","Criativa/Artística"
"Ser arqueólogo","Criativa/Artística"
"Ser botânico","Criativa/Artística"
"Ser médico","Intelectual/Técnica"
"Ser curador de museu","Criativa/Artística"
"Não desmaiar com sangue","Fantasia/Sobrenatural"
"Pegar um bronzeado","Cotidiano"
"Passar por situações constrangedoras","Cotidiano"
"Executar um assassinato premeditado","Outra"
"Preparar pratos exóticos","Criativa/Artística"
"Derrotar robôs gigantes","Fantasia/Sobrenatural"
"Desmontar uma quadrilha internacional por dentro","Outra"
"Tirar um gato de cima da árvore","Cotidiano"
"Prender alguém por um crime virtual","Outra"
"Atuar numa comédia","Criativa/Artística"
"Atuar num drama","Criativa/Artística"
"Enfrentar um ciclope","Fantasia/Sobrenatural"
"Não ser seduzido pelo canto das sereias","Fantasia/Sobrenatural"
"Proteger o país","Social/Interpessoal"
"Coordenar uma invasão a outro território","Outra"
"Organizar um assalto a banco","Outra"
"Assaltar um ônibus","Outra"
"Ser policial","Outra"
"Ir à Marte","Fantasia/Sobrenatural"
"Ser astronauta","Fantasia/Sobrenatural"
"Correr uma maratona","Física/Esportes"
"Lutar MMA","Física/Esportes"
"Conseguir um passaporte falso","Outra"
"Vencer uma guerra sozinho","Fantasia/Sobrenatural"
"Vencer um duelo de faroeste","Fantasia/Sobrenatural"
"Governar um país","Fantasia/Sobrenatural"
"Beber cerveja","Cotidiano"
"Trabalhar num escritório","Cotidiano"
"Tocar piano","Criativa/Artística"
"Tocar em uma orquestra","Criativa/Artística"
"Jogar quadribol","Fantasia/Sobrenatural"
"Atuar num filme","Criativa/Artística"
"Ser chef de um restaurante","Cotidiano"
"Diagnosticar uma doença","Intelectual/Técnica"
"Fazer massagens","Criativa/Artística"
"Ganhar no par ou ímpar","Cotidiano"
"Jogar futebol","Física/Esportes"
"Dançar competentemente","Criativa/Artística"
"Fazer uma dancinha ridícula","Criativa/Artística"
"Compor músicas","Criativa/Artística"
"Apresentar um programa de auditório","Criativa/Artística"
"Ser jornalista","Criativa/Artística"
"Liderar os Beatles","Criativa/Artística"
"Fazer moonwalking","Criativa/Artística"
"Ser vocalista de uma banda","Criativa/Artística"
"Cantar ópera","Criativa/Artística"
"Dançar a dança do ventre","Criativa/Artística"
"Dançar e cantar ao mesmo tempo","Criativa/Artística"
"Usar roupas exóticas","Criativa/Artística"
"Dançar funk","Criativa/Artística"
"Manipular as pessoas","Outra"
"Ser carismático","Social/Interpessoal"
"Ser eletricista","Criativa/Artística"
"Fazer um churrasco","Cotidiano"
"Envenenar alguém","Fantasia/Sobrenatural"
"Trabalhar no circo","Criativa/Artística"
"Carregar peso","Física/Esportes"
"Fazer truques de mágica","Criativa/Artística"
"Entregar mensagens secretas","Outra"
"Guardar segredos","Social/Interpessoal"
"Pilotar um carro de Fórmula-1","Física/Esportes"
"Escapar de uma camisa de força","Outra"
"Dirigir um filme","Criativa/Artística"
"Ser dublê","Criativa/Artística"
"Fazer esculturas","Criativa/Artística"
"Andar na corda bamba","Física/Esportes"
"Fazer salto com vara","Física/Esportes"
"Liderar uma revolução","Outra"
"Derrubar um governo","Outra"
"Gerenciar um time de futebol","Cotidiano"
"Andar de skate","Física/Esportes"
"Jogar tênis","Física/Esportes"
"Jogar basquete","Física/Esportes"
"Fazer uma prova de hipismo","Física/Esportes"
"Inspirar pessoas","Social/Interpessoal"
"Incendiar uma casa","Fantasia/Sobrenatural"
"Trazer paz pro mundo","Social/Interpessoal"
"Ganhar um Oscar","Criativa/Artística"
"Ganhar um Grammy","Criativa/Artística"
"Fazer um show ao vivo","Criativa/Artística"
"Tocar bateria/percussão","Criativa/Artística"
"Lutar pelo meio ambiente","Social/Interpessoal"
"Ser cientista","Intelectual/Técnica"
"Fazer stand-up","Criativa/Artística"
"Ser engenheiro químico","Intelectual/Técnica"
"Lidar com espíritos","Fantasia/Sobrenatural"
"Ser solidário","Social/Interpessoal"
"Escalar o Everest","Física/Esportes"
"Atuar em uma novela mexicana","Criativa/Artística"
"Orquestrar uma conspiração","Intelectual/Técnica"
"Participar de uma competição de dança","Criativa/Artística"
"Resolver um enigma complexo","Intelectual/Técnica"
"Organizar um evento de caridade","Social/Interpessoal"
"Correr uma maratona","Física/Esportes"
"Criar uma escultura de argila","Criativa/Artística"
"Programar computadores antigos","Intelectual/Técnica"
"Participar de um debate político","Social/Interpessoal"
"Dar aulas de reforço escolar","Social/Interpessoal"
"Navegar em um rio","Física/Esportes"
"Desenhar um retrato realista","Criativa/Artística"
"Praticar meditação","Física/Esportes"
"Praticar ioga","Física/Esportes"
"Ser YouTuber","Criativa/Artística"
"Aprender a tocar agogô","Criativa/Artística"
"Ser biólogo","Intelectual/Técnica"
"Ser físico","Intelectual/Técnica"
"Ser paraquedista","Física/Esportes"
"Construir uma casa","Cotidiano"
"Resolver uma escape room","Criativa/Artística"
"Escalar uma rocha","Física/Esportes"
"Participar de uma competição de natação","Física/Esportes"
"Entrar no Cirque de Soleil como acrobata","Física/Esportes"
"Jogar uma partida de futebol profissional","Física/Esportes"
"Escrever um livro de poesia","Criativa/Artística"
"Pintar um retrato em aquarela","Criativa/Artística"
"Compor uma trilha sonora","Criativa/Artística"
"Realizar uma exposição de arte com suas obras","Criativa/Artística"
"Desenvolver um novo aplicativo de celular","Intelectual/Técnica"
"Falar japonês fluentemente","Intelectual/Técnica"
"Escrever um artigo científico","Intelectual/Técnica"
"Arrecadar de fundos para uma causa social","Social/Interpessoal"
"Ser mentor para jovens talentos","Social/Interpessoal"
"Ser voluntário em um abrigo de animais","Social/Interpessoal"
"Organizar uma festa de aniversário surpresa","Social/Interpessoal"
"Explorar uma casa assombrada, de noite","Fantasia/Sobrenatural"
"Jogar pingue-pongue","Física/Esportes"
"Dançar dança do ventre","Física/Esportes"
"Fazer malabarismo de olhos vendados","Física/Esportes"
"Tirar uma foto interessante","Criativa/Artística"
"Criar uma playlist de músicas para relaxar","Criativa/Artística"
"Criar uma escultura usando materiais reciclados","Criativa/Artística"
"Construir um robô","Intelectual/Técnica"
"Resolver uma palavra-cruzada","Intelectual/Técnica"
"Organizar um flash mob em um local movimentado","Social/Interpessoal"
"Fazer parte de uma cena teatral improvisada","Social/Interpessoal"
"Dirigir um filme de ficção científica","Criativa/Artística"
"Comer comidas exóticas","Outra"
"Quebrar um recorde mundial","Outra"
"Realizar um experimento científico maluco em casa","Outra"
"Construir um castelo de areia","Física/Esportes"
